,station_number,year,month,day,hour,minute,precipitation,air_temp,dew_point,humidity,wind_speed,wind_speed_quality,wind_direction
146946,16001,2000,10,1,0,0,   0.0, 15.5,  8.4, 63, 30,N,220
146947,16001,2000,10,1,0,30,   0.0, 15.0,  8.1, 63, 33,N,220
146948,16001,2000,10,1,1,0,   0.0, 14.5,  8.0, 65, 31,N,220
146949,16001,2000,10,1,1,30,   0.0, 14.2,  7.6, 64, 31,N,220
146950,16001,2000,10,1,2,0,   0.0, 13.7,  7.7, 67, 26,N,220
146951,16001,2000,10,1,2,30,   0.0, 13.6,  6.4, 62, 28,N,200
146952,16001,2000,10,1,3,0,   0.0, 13.4,  5.1, 57, 30,N,210
146953,16001,2000,10,1,3,30,   0.0, 13.1,  5.2, 59, 33,N,200
146954,16001,2000,10,1,4,0,   0.0, 12.7,  6.2, 65, 30,N,210
146955,16001,2000,10,1,4,30,   0.0, 12.3,  6.2, 66, 21,N,190
146956,16001,2000,10,1,5,0,   0.0, 12.0,  6.0, 67, 21,N,190
146957,16001,2000,10,1,5,30,   0.0, 11.5,  6.0, 69, 17,N,190
146958,16001,2000,10,1,6,0,   0.0, 10.6,  5.9, 73, 13,N,200
146959,16001,2000,10,1,6,30,   0.0, 10.9,  6.0, 72,  9,N,200
146960,16001,2000,10,1,7,0,   0.0, 12.5,  5.7, 63, 13,N,200
146961,16001,2000,10,1,7,30,   0.0, 13.6,  5.6, 58, 22,N,200
146962,16001,2000,10,1,8,0,   0.0, 14.2,  4.8, 53, 26,N,200
146963,16001,2000,10,1,8,30,   0.0, 14.4,  4.7, 52, 26,N,200
146964,16001,2000,10,1,9,0,   0.0, 14.8,  4.5, 50, 22,N,200
146965,16001,2000,10,1,9,30,   0.0, 15.4,  4.6, 48, 22,N,190
146966,16001,2000,10,1,10,0,   0.0, 16.0,  4.0, 45, 22,N,200
146967,16001,2000,10,1,10,30,   0.0, 16.7,  4.2, 43, 22,N,190
146968,16001,2000,10,1,11,0,   0.0, 16.5,  4.2, 44, 24,N,210
146969,16001,2000,10,1,11,30,   0.0, 17.7,  2.7, 37, 24,N,190
146970,16001,2000,10,1,12,0,   0.0, 17.9,  2.5, 36, 21,N,190
146971,16001,2000,10,1,12,30,   0.0, 18.4,  1.6, 32, 21,N,200
146972,16001,2000,10,1,13,0,   0.0, 19.5,  0.7, 28, 22,N,190
