,station_number,year,month,day,hour,minute,precipitation,air_temp,dew_point,humidity,wind_speed,wind_speed_quality,wind_direction
132615,23083,2000,10,1,0,0,   1.4, 11.7,  4.7, 62, 30,N,260
132616,23083,2000,10,1,0,30,   1.4, 12.2,  5.2, 62, 31,N,260
132617,23083,2000,10,1,0,53,   1.4, 12.4,  6.5, 67, 35,N,260
132618,23083,2000,10,1,1,30,   1.4, 11.4,  6.4, 71, 31,N,250
132619,23083,2000,10,1,2,0,   1.4, 11.7,  6.5, 70, 31,N,250
132620,23083,2000,10,1,2,30,   1.4, 12.0,  6.1, 67, 42,N,250
132621,23083,2000,10,1,3,0,   1.4, 11.4,  6.2, 70, 35,N,240
132622,23083,2000,10,1,3,9,   1.4, 11.7,  5.8, 67, 33,N,240
132623,23083,2000,10,1,3,30,   1.8, 10.7,  8.3, 85, 33,N,220
132624,23083,2000,10,1,4,0,   2.0, 10.7,  6.9, 77, 30,N,240
132625,23083,2000,10,1,4,4,   2.0, 10.7,  5.9, 72, 35,N,230
132626,23083,2000,10,1,4,29,   2.0, 10.9,  7.4, 79, 33,N,230
132627,23083,2000,10,1,5,0,   2.4, 10.3,  6.5, 77, 26,N,230
132628,23083,2000,10,1,5,30,   2.4, 10.5,  5.9, 73, 28,N,230
132629,23083,2000,10,1,6,0,   2.4, 10.8,  5.4, 69, 31,N,230
132630,23083,2000,10,1,6,30,   2.4, 10.7,  6.3, 74, 28,N,210
132631,23083,2000,10,1,7,0,   2.4, 11.5,  4.7, 63, 33,N,220
132632,23083,2000,10,1,7,30,   2.4, 12.2,  3.7, 56, 31,N,220
132633,23083,2000,10,1,8,0,   2.4, 12.7,  4.2, 56, 35,N,230
132634,23083,2000,10,1,8,30,   2.4, 13.1,  4.0, 54, 39,N,210
132635,23083,2000,10,1,9,0,   2.4, 13.4,  3.2, 50, 35,N,230
132636,23083,2000,10,1,9,30,   0.0, 13.6,  3.7, 51, 33,N,230
132637,23083,2000,10,1,10,0,   0.0, 14.1,  2.0, 44, 35,N,220
132638,23083,2000,10,1,10,30,   0.0, 14.6,  3.8, 48, 33,N,230
132639,23083,2000,10,1,11,0,   0.0, 14.7,  1.3, 40, 31,N,230
132640,23083,2000,10,1,11,30,   0.0, 15.3, -0.8, 33, 31,N,230
132641,23083,2000,10,1,12,0,   0.0, 15.0,  2.2, 42, 33,N,240
132642,23083,2000,10,1,12,30,   0.0, 14.9,  1.4, 40, 33,N,240
132643,23083,2000,10,1,13,0,   0.0, 15.3,  2.5, 42, 31,N,230
132644,23083,2000,10,1,13,30,   0.0, 15.5,  1.6, 39, 31,N,240
132645,23083,2000,10,1,14,0,   0.0, 15.4,  2.6, 42, 28,N,230
132646,23083,2000,10,1,14,30,   0.0, 15.8,  3.0, 42, 26,N,240
132647,23083,2000,10,1,14,49,   0.0, 15.4,  3.6, 45, 28,N,240
132648,23083,2000,10,1,15,0,   0.0, 15.0,  3.2, 45, 26,N,240
132649,23083,2000,10,1,15,30,   0.0, 15.4,  3.9, 46, 22,N,240
132650,23083,2000,10,1,16,0,   0.0, 15.3,  4.4, 48, 26,N,220
132651,23083,2000,10,1,16,30,   0.0, 14.8,  3.9, 48, 24,N,230
132652,23083,2000,10,1,17,0,   0.0, 14.4,  5.0, 53, 24,N,230
132653,23083,2000,10,1,17,30,   0.0, 13.6,  5.0, 56, 21,N,230
132654,23083,2000,10,1,18,0,   0.0, 12.6,  5.5, 62, 18,N,230
132655,23083,2000,10,1,18,30,   0.0, 11.5,  5.4, 66, 15,N,220
132656,23083,2000,10,1,19,0,   0.0, 10.5,  5.9, 73, 15,N,230
132657,23083,2000,10,1,19,30,   0.0, 10.6,  5.8, 72, 15,N,230
132658,23083,2000,10,1,20,0,   0.0, 10.7,  6.5, 75, 15,N,230
132659,23083,2000,10,1,20,30,   0.0, 10.5,  6.7, 77, 15,N,230
132660,23083,2000,10,1,21,0,   0.0,  9.8,  6.5, 80, 11,N,230
132661,23083,2000,10,1,21,30,   0.0,  9.2,  6.5, 83, 11,N,230
132662,23083,2000,10,1,22,0,   0.0,  9.0,  6.5, 84, 11,N,220
132663,23083,2000,10,1,22,30,   0.0,  6.9,  4.6, 85,  8,N, 60
132664,23083,2000,10,1,23,0,   0.0,  6.8,  5.3, 90, 13,N, 50
132665,23083,2000,10,1,23,30,   0.0,  6.5,  4.9, 89, 11,N, 50
132666,23083,2000,10,2,0,0,   0.0,  6.9,  5.4, 90, 11,N, 60
132667,23083,2000,10,2,0,30,   0.0,  6.3,  4.8, 90, 11,N, 50
132668,23083,2000,10,2,1,0,   0.0,  6.2,  4.7, 90,  9,N, 50
132669,23083,2000,10,2,1,30,   0.0,  5.6,  4.3, 91, 11,N, 50
