,station_number,year,month,day,hour,minute,precipitation,air_temp,dew_point,humidity,wind_speed,wind_speed_quality,wind_direction
0,14982,2017,10,3,9,0,  52.2,28.7,23.1,72,  2,N, 70
1,14982,2017,10,3,9,30,   0.0,29.6,23.1,68,  4,N, 30
2,14982,2017,10,3,10,0,   0.0,31.4,23.2,62,  5,N, 30
3,14982,2017,10,3,10,30,   0.0,32.2,22.9,58,  5,N, 10
4,14982,2017,10,3,11,0,   0.0,32.6,22.4,55,  4,N, 80
5,14982,2017,10,3,11,30,   0.0,32.4,21.6,53,  8,N,100
6,14982,2017,10,3,12,0,   0.0,33.8,21.2,48,  5,N,120
7,14982,2017,10,3,15,0,   0.0,36.5,18.1,34,  9,N,130
8,14982,2017,10,3,15,30,   0.0,37.0,17.1,31,  8,N, 80
9,14982,2017,10,3,16,0,   0.0,36.5,17.1,32,  8,N, 50
10,14982,2017,10,3,16,30,   0.0,36.2,17.4,33,  8,N, 40
11,14982,2017,10,3,17,0,   0.0,33.0,22.4,54, 13,N,330
12,14982,2017,10,3,17,30,   0.0,32.0,22.7,58, 13,N,350
13,14982,2017,10,3,18,0,   0.0,31.2,24.6,68,  8,N,320
14,14982,2017,10,3,18,30,   0.0,30.3,24.0,69,  8,N,280
15,14982,2017,10,3,19,0,   0.0,29.6,24.0,72,  5,N,270
16,14982,2017,10,3,19,30,   0.0,29.1,23.8,73,  4,N,270
17,14982,2017,10,3,20,0,   0.0,28.8,23.7,74,  5,N,280
18,14982,2017,10,3,20,30,   0.0,28.3,23.7,76,  4,N,250
19,14982,2017,10,3,21,0,   0.0,28.0,23.8,78,  4,N,270
20,14982,2017,10,3,21,30,   0.0,27.6,24.4,83,  0,N,  0
21,14982,2017,10,3,22,0,   0.0,27.0,24.1,84,  0,N,  0
22,14982,2017,10,3,22,30,   0.0,26.9,24.4,86,  0,N,  0
23,14982,2017,10,3,23,0,   0.0,26.7,24.5,88,  0,N,  0
24,14982,2017,10,3,23,30,   0.0,26.7,24.5,88,  0,N,  0
25,14982,2017,10,4,0,0,   0.0,27.0,24.5,86,  0,N,  0
26,14982,2017,10,4,0,30,   0.0,27.0,24.5,86,  0,N,  0
27,14982,2017,10,4,1,0,   0.0,26.7,24.5,88,  0,N,  0
28,14982,2017,10,4,1,30,   0.0,26.3,24.3,89,  0,N,  0
29,14982,2017,10,4,2,0,   0.0,26.2,24.6,91,  0,N,  0
30,14982,2017,10,4,2,30,   0.0,26.1,24.7,92,  0,N,  0
31,14982,2017,10,4,3,0,   0.0,25.8,24.6,93,  0,N,  0
32,14982,2017,10,4,3,30,   0.0,25.9,24.9,94,  0,N,  0
33,14982,2017,10,4,4,0,   0.0,26.0,24.4,91,  2,N, 30
34,14982,2017,10,4,4,30,   0.0,26.3,24.7,91,  2,N, 30
35,14982,2017,10,4,5,0,   4.0,26.3,24.5,90,  2,N, 60
36,14982,2017,10,4,5,30,   5.0,25.8,24.9,95,  0,N,  0
37,14982,2017,10,4,6,0,   5.2,26.0,25.1,95,  0,N,  0
38,14982,2017,10,4,6,30,   5.2,25.9,25.2,96,  0,N,  0
39,14982,2017,10,4,7,0,   5.2,25.9,25.2,96,  0,N,  0
40,14982,2017,10,4,7,30,   5.2,26.8,25.8,94,  0,N,  0
41,14982,2017,10,4,8,0,   5.2,27.7,24.9,85,  0,N,  0
42,14982,2017,10,4,8,30,   5.2,29.7,24.6,74,  2,N, 60
43,14982,2017,10,4,9,0,   5.2,30.1,23.3,67,  4,N,110
44,14982,2017,10,4,9,30,   0.0,30.3,22.2,62,  0,N,  0
45,14982,2017,10,4,10,0,   0.0,31.0,22.6,61,  4,N,150
46,14982,2017,10,4,10,30,   0.0,31.3,22.9,61,  2,N,160
47,14982,2017,10,4,11,0,   0.0,31.6,22.3,58,  5,N,230
48,14982,2017,10,4,11,30,   0.0,33.0,21.8,52,  4,N,140
49,14982,2017,10,4,12,0,   0.0,32.9,22.4,54,  5,N,200
50,14982,2017,10,4,12,30,   0.0,34.5,21.2,46,  8,N, 70
51,14982,2017,10,4,13,0,   0.0,34.9,20.1,42,  2,N, 50
52,14982,2017,10,4,13,30,   0.0,35.8,21.3,43,  8,N, 50
53,14982,2017,10,4,14,0,   0.0,35.3,19.6,40,  5,N,350
54,14982,2017,10,4,14,30,   0.0,37.6,17.6,31,  4,N,150
55,14982,2017,10,4,15,0,   0.0,33.5,22.3,52, 13,N,320
56,14982,2017,10,4,15,30,   0.0,32.4,23.1,58, 15,N,330
57,14982,2017,10,4,16,0,   0.0,32.5,23.4,59, 13,N,340
58,14982,2017,10,4,16,30,   0.0,32.4,21.9,54,  9,N,310
59,14982,2017,10,4,17,0,   0.0,32.5,22.9,57,  8,N,310
60,14982,2017,10,4,17,30,   0.0,31.8,23.6,62,  8,N,290
61,14982,2017,10,4,18,0,   0.0,30.7,23.9,67,  9,N,290
62,14982,2017,10,4,18,30,   0.0,30.0,23.9,70,  5,N,300
63,14982,2017,10,4,19,0,   0.0,29.5,23.9,72,  5,N,310
64,14982,2017,10,4,19,30,   0.0,29.1,24.2,75,  5,N,300
65,14982,2017,10,4,20,0,   0.0,28.8,23.7,74,  4,N,270
66,14982,2017,10,4,20,30,   0.0,28.5,23.6,75,  4,N,270
67,14982,2017,10,4,21,0,   0.0,28.2,23.8,77,  0,N,  0
68,14982,2017,10,4,21,30,   0.0,27.5,23.9,81,  0,N,  0
69,14982,2017,10,4,22,0,   0.0,27.6,23.6,79,  2,N,290
70,14982,2017,10,4,22,30,   0.0,27.4,23.8,81,  0,N,  0
71,14982,2017,10,4,23,0,   0.0,27.1,24.0,83,  0,N,  0
72,14982,2017,10,4,23,30,   0.0,26.8,23.9,84,  0,N,  0
73,14982,2017,10,5,0,0,   0.0,26.7,24.4,87,  0,N,  0
74,14982,2017,10,5,0,30,   0.0,26.4,24.2,88,  0,N,  0
75,14982,2017,10,5,1,0,   0.0,26.1,24.3,90,  0,N,  0
76,14982,2017,10,5,1,30,   0.0,26.0,24.2,90,  0,N,  0
77,14982,2017,10,5,2,0,   0.0,26.1,24.5,91,  0,N,  0
78,14982,2017,10,5,2,30,   0.0,26.4,24.6,90,  0,N,  0
79,14982,2017,10,5,3,0,   0.0,26.7,24.2,86,  4,N,360
80,14982,2017,10,5,3,30,   0.0,26.6,24.1,86,  0,N,  0
81,14982,2017,10,5,4,0,   0.0,26.6,24.1,86,  4,N, 30
82,14982,2017,10,5,4,30,   0.0,26.7,24.2,86,  2,N, 30
83,14982,2017,10,5,5,0,   0.0,26.0,23.9,88,  0,N,  0
84,14982,2017,10,5,5,30,   0.0,25.7,24.1,91,  0,N,  0
85,14982,2017,10,5,6,0,   0.0,25.7,24.3,92,  0,N,  0
86,14982,2017,10,5,6,30,   0.0,25.5,24.5,94,  0,N,  0
87,14982,2017,10,5,7,0,   0.0,25.5,24.6,95,  0,N,  0
88,14982,2017,10,5,7,30,   0.0,26.4,24.6,90,  0,N,  0
89,14982,2017,10,5,8,0,   0.0,28.3,24.1,78,  4,N, 20
90,14982,2017,10,5,8,30,   0.0,29.0,23.4,72,  8,N,350
91,14982,2017,10,5,9,0,   0.0,30.5,23.7,67,  5,N,360
92,14982,2017,10,5,9,30,   0.0,29.7,22.4,65,  5,N, 10
93,14982,2017,10,5,10,0,   0.0,30.9,22.5,61,  4,N,330
94,14982,2017,10,5,10,30,   0.0,31.6,22.0,57,  4,N,340
95,14982,2017,10,5,11,0,   0.0,31.9,21.4,54,  4,N,260
96,14982,2017,10,5,11,30,   0.0,32.7,21.2,51,  4,N,250
97,14982,2017,10,5,12,0,   0.0,33.1,21.9,52,  5,N,250
98,14982,2017,10,5,12,30,   0.0,33.7,21.2,48,  4,N,160
99,14982,2017,10,5,13,0,   0.0,33.9,20.6,46,  8,N,250
100,14982,2017,10,5,13,30,   0.0,34.1,20.5,45,  5,N,230
101,14982,2017,10,5,14,0,   0.0,34.6,21.3,46,  4,N,330
102,14982,2017,10,5,14,30,   0.0,34.3,24.8,58,  5,N,310
103,14982,2017,10,5,15,0,   0.0,33.2,23.5,57, 13,N,330
104,14982,2017,10,5,15,14,   6.0,28.0,22.7,73, 21,N,230
105,14982,2017,10,5,15,30,   8.0,27.7,24.1,81,  8,N,300
106,14982,2017,10,5,16,0,   8.0,28.4,23.5,75,  9,N,320
107,14982,2017,10,5,16,30,   8.0,27.2,21.5,71,  5,N,240
108,14982,2017,10,5,17,0,   8.0,27.5,22.4,74,  4,N,290
109,14982,2017,10,5,17,30,   8.0,28.5,23.0,72, 11,N,350
110,14982,2017,10,5,18,0,   8.0,27.5,22.9,76,  8,N,350
111,14982,2017,10,5,18,30,   8.0,27.4,21.9,72,  4,N,310
112,14982,2017,10,5,19,0,   8.0,26.6,20.9,71,  2,N,300
113,14982,2017,10,5,19,30,   8.0,26.3,21.3,74,  0,N,  0
114,14982,2017,10,5,20,0,   8.0,26.1,21.5,76,  0,N,  0
115,14982,2017,10,5,20,30,   8.0,26.0,22.1,79,  0,N,  0
116,14982,2017,10,5,21,0,   8.0,25.8,22.5,82,  0,N,  0
117,14982,2017,10,5,21,30,   8.0,25.4,22.9,86,  0,N,  0
118,14982,2017,10,5,22,0,   8.0,26.3,23.2,83,  4,N,360
119,14982,2017,10,5,22,30,   8.0,26.1,23.8,87,  0,N,  0
120,14982,2017,10,5,23,0,   8.0,26.3,23.8,86,  2,N,340
121,14982,2017,10,5,23,30,   8.0,26.8,24.3,86,  4,N,340
122,14982,2017,10,6,0,0,   8.0,27.1,24.4,85,  5,N,350
123,14982,2017,10,6,0,30,   8.0,27.2,24.3,84,  5,N,350
124,14982,2017,10,6,1,0,   8.0,27.1,23.8,82,  5,N,340
125,14982,2017,10,6,1,30,   8.0,27.0,24.1,84,  4,N,340
126,14982,2017,10,6,2,0,   8.0,26.6,23.9,85,  2,N,340
127,14982,2017,10,6,2,30,   8.0,26.6,23.7,84,  4,N,350
128,14982,2017,10,6,3,0,   8.0,25.9,23.8,88,  0,N,  0
129,14982,2017,10,6,3,30,   8.0,26.0,23.9,88,  0,N,  0
