,station_number,year,month,day,hour,minute,precipitation,air_temp,dew_point,humidity,wind_speed,wind_speed_quality,wind_direction
12173,21139,2015,10,1,0,0,   0.0,10.3,3.3,62,  9,N,150
12174,21139,2015,10,1,0,30,   0.0,9.8,2.9,62,  8,N,140
12175,21139,2015,10,1,1,0,   0.0,8.5,1.9,63,  5,N,150
12176,21139,2015,10,1,1,30,   0.0,8.8,1.5,60,  8,N,160
12177,21139,2015,10,1,2,0,   0.0,6.9,1.0,66,  5,N,180
12178,21139,2015,10,1,2,30,   0.0,6.5,0.8,67,  5,N,180
12179,21139,2015,10,1,3,0,   0.0,5.8,1.2,72,  5,N,160
12180,21139,2015,10,1,3,30,   0.0,4.9,0.3,72,  4,N,110
12181,21139,2015,10,1,4,0,   0.0,5.0,0.6,73,  4,N,150
12182,21139,2015,10,1,4,30,   0.0,4.7,0.7,75,  4,N,160
12183,21139,2015,10,1,5,0,   0.0,4.9,0.9,75,  5,N,170
12184,21139,2015,10,1,5,30,   0.0,5.2,1.0,74,  4,N,170
12185,21139,2015,10,1,6,0,   0.0,5.0,0.6,73,  4,N,230
12186,21139,2015,10,1,6,30,   0.0,6.0,1.5,73,  2,N,210
12187,21139,2015,10,1,7,0,   0.0,7.6,1.9,67,  0,N,  0
12188,21139,2015,10,1,7,30,   0.0,10.2,2.6,59,  2,N, 50
12189,21139,2015,10,1,8,0,   0.0,13.6,3.4,50,  2,N, 30
12190,21139,2015,10,1,8,30,   0.0,16.6,3.3,41,  0,N,  0
12191,21139,2015,10,1,9,0,   0.0,18.7,4.5,39,  2,N,190
12192,21139,2015,10,1,9,30,   0.0,20.5,3.7,33,  4,N,240
12193,21139,2015,10,1,10,0,   0.0,22.4,4.9,32,  4,N,250
12194,21139,2015,10,1,10,30,   0.0,24.0,4.9,29,  5,N,280
12195,21139,2015,10,1,11,0,   0.0,24.3,3.6,26,  5,N,280
12196,21139,2015,10,1,11,30,   0.0,24.9,5.7,29,  9,N,240
12197,21139,2015,10,1,12,0,   0.0,25.1,5.3,28, 11,N,210
12198,21139,2015,10,1,12,30,   0.0,26.2,2.8,22,  9,N,240
12199,21139,2015,10,1,13,0,   0.0,26.7,5.6,26, 13,N,230
12200,21139,2015,10,1,13,30,   0.0,26.0,5.0,26, 13,N,230
12201,21139,2015,10,1,14,0,   0.0,26.8,5.7,26, 13,N,220
12202,21139,2015,10,1,14,30,   0.0,27.0,5.9,26, 13,N,220
12203,21139,2015,10,1,15,0,   0.0,26.6,6.6,28, 15,N,230
12204,21139,2015,10,1,15,30,   0.0,26.2,6.3,28, 15,N,230
12205,21139,2015,10,1,16,0,   0.0,25.7,5.8,28, 17,N,230
12206,21139,2015,10,1,16,30,   0.0,24.9,6.6,31, 17,N,220
12207,21139,2015,10,1,17,0,   0.0,24.3,5.6,30, 17,N,220
12208,21139,2015,10,1,17,30,   0.0,22.2,5.6,34, 17,N,220
12209,21139,2015,10,1,18,0,   0.0,20.2,6.2,40, 13,N,230
12210,21139,2015,10,1,18,30,   0.0,18.2,5.8,44,  8,N,120
12211,21139,2015,10,1,19,0,   0.0,16.1,5.1,48,  8,N,130
12212,21139,2015,10,1,19,30,   0.0,15.5,4.8,49,  4,N,170
12213,21139,2015,10,1,20,0,   0.0,14.4,5.0,53,  8,N,190
12214,21139,2015,10,1,20,30,   0.0,12.9,5.3,60,  8,N,160
12215,21139,2015,10,1,21,0,   0.0,15.9,7.7,58,  9,N,140
12216,21139,2015,10,1,21,30,   0.0,15.9,7.1,56, 13,N,140
12217,21139,2015,10,1,22,0,   0.0,16.1,6.5,53, 17,N,130
12218,21139,2015,10,1,22,30,   0.0,15.8,6.0,52, 17,N,140
12219,21139,2015,10,1,23,0,   0.0,14.3,5.7,56, 11,N,130
12220,21139,2015,10,1,23,30,   0.0,11.9,5.1,63,  5,N,110
12221,21139,2015,10,2,0,0,   0.0,10.1,4.9,70,  5,N,140
12222,21139,2015,10,2,0,30,   0.0,9.5,4.7,72,  5,N,150
12223,21139,2015,10,2,1,0,   0.0,8.6,4.2,74,  2,N,150
12224,21139,2015,10,2,1,30,   0.0,7.9,3.8,75,  4,N,160
12225,21139,2015,10,2,2,0,   0.0,7.0,3.4,78,  4,N,140
12226,21139,2015,10,2,2,30,   0.0,6.4,3.4,81,  5,N,160
12227,21139,2015,10,2,3,0,   0.0,5.7,2.5,80,  4,N, 90
12228,21139,2015,10,2,3,30,   0.0,5.9,3.2,83,  4,N,120
12229,21139,2015,10,2,4,0,   0.0,6.5,2.9,78,  4,N,170
12230,21139,2015,10,2,4,30,   0.0,6.0,2.5,78,  2,N,160
12231,21139,2015,10,2,5,0,   0.0,5.7,2.4,79,  4,N,150
12232,21139,2015,10,2,5,30,   0.0,5.6,2.8,82,  4,N,160
12233,21139,2015,10,2,6,0,   0.0,5.3,2.3,81,  4,N,140
12234,21139,2015,10,2,6,30,   0.0,5.8,2.6,80,  2,N,110
12235,21139,2015,10,2,7,0,   0.0,9.2,5.8,79,  0,N,  0
12236,21139,2015,10,2,7,30,   0.0,14.1,8.7,70,  0,N,  0
12237,21139,2015,10,2,8,0,   0.0,16.8,9.0,60,  2,N, 10
12238,21139,2015,10,2,8,30,   0.0,20.0,10.1,53,  5,N,320
12239,21139,2015,10,2,9,0,   0.0,22.2,9.0,43,  8,N,350
12240,21139,2015,10,2,9,30,   0.0,24.1,8.1,36, 11,N,360
12241,21139,2015,10,2,10,0,   0.0,24.8,6.5,31,  9,N,360
12242,21139,2015,10,2,10,30,   0.0,26.0,5.6,27,  9,N,340
12243,21139,2015,10,2,11,0,   0.0,28.0,4.3,22, 15,N,350
12244,21139,2015,10,2,11,30,   0.0,28.7,2.1,18, 15,N,350
12245,21139,2015,10,2,12,0,   0.0,29.2,3.2,19, 15,N,350
12246,21139,2015,10,2,12,30,   0.0,30.3,3.4,18, 13,N,350
