date,station_number,precipitation,air_temp,dew_point,humidity,wind_speed,wind_direction
2015-10-01 00:00:00,21139,0.0,10.3,3.3,62,9,150
2015-10-01 00:30:00,21139,0.0,9.8,2.9,62,8,140
2015-10-01 01:00:00,21139,0.0,8.5,1.9,63,5,150
2015-10-01 01:30:00,21139,0.0,8.8,1.5,60,8,160
2015-10-01 02:00:00,21139,0.0,6.9,1.0,66,5,180
2015-10-01 02:30:00,21139,0.0,6.5,0.8,67,5,180
2015-10-01 03:00:00,21139,0.0,5.8,1.2,72,5,160
2015-10-01 03:30:00,21139,0.0,4.9,0.3,72,4,110
2015-10-01 04:00:00,21139,0.0,5.0,0.6,73,4,150
2015-10-01 04:30:00,21139,0.0,4.7,0.7,75,4,160
2015-10-01 05:00:00,21139,0.0,4.9,0.9,75,5,170
2015-10-01 05:30:00,21139,0.0,5.2,1.0,74,4,170
2015-10-01 06:00:00,21139,0.0,5.0,0.6,73,4,230
2015-10-01 06:30:00,21139,0.0,6.0,1.5,73,2,210
2015-10-01 07:00:00,21139,0.0,7.6,1.9,67,0,0
2015-10-01 07:30:00,21139,0.0,10.2,2.6,59,2,50
2015-10-01 08:00:00,21139,0.0,13.6,3.4,50,2,30
2015-10-01 08:30:00,21139,0.0,16.6,3.3,41,0,0
2015-10-01 09:00:00,21139,0.0,18.7,4.5,39,2,190
2015-10-01 09:30:00,21139,0.0,20.5,3.7,33,4,240
2015-10-01 10:00:00,21139,0.0,22.4,4.9,32,4,250
2015-10-01 10:30:00,21139,0.0,24.0,4.9,29,5,280
2015-10-01 11:00:00,21139,0.0,24.3,3.6,26,5,280
2015-10-01 11:30:00,21139,0.0,24.9,5.7,29,9,240
2015-10-01 12:00:00,21139,0.0,25.1,5.3,28,11,210
2015-10-01 12:30:00,21139,0.0,26.2,2.8,22,9,240
2015-10-01 13:00:00,21139,0.0,26.7,5.6,26,13,230
2015-10-01 13:30:00,21139,0.0,26.0,5.0,26,13,230
2015-10-01 14:00:00,21139,0.0,26.8,5.7,26,13,220
2015-10-01 14:30:00,21139,0.0,27.0,5.9,26,13,220
2015-10-01 15:00:00,21139,0.0,26.6,6.6,28,15,230
2015-10-01 15:30:00,21139,0.0,26.2,6.3,28,15,230
2015-10-01 16:00:00,21139,0.0,25.7,5.8,28,17,230
2015-10-01 16:30:00,21139,0.0,24.9,6.6,31,17,220
2015-10-01 17:00:00,21139,0.0,24.3,5.6,30,17,220
2015-10-01 17:30:00,21139,0.0,22.2,5.6,34,17,220
2015-10-01 18:00:00,21139,0.0,20.2,6.2,40,13,230
2015-10-01 18:30:00,21139,0.0,18.2,5.8,44,8,120
2015-10-01 19:00:00,21139,0.0,16.1,5.1,48,8,130
2015-10-01 19:30:00,21139,0.0,15.5,4.8,49,4,170
2015-10-01 20:00:00,21139,0.0,14.4,5.0,53,8,190
2015-10-01 20:30:00,21139,0.0,12.9,5.3,60,8,160
2015-10-01 21:00:00,21139,0.0,15.9,7.7,58,9,140
2015-10-01 21:30:00,21139,0.0,15.9,7.1,56,13,140
2015-10-01 22:00:00,21139,0.0,16.1,6.5,53,17,130
2015-10-01 22:30:00,21139,0.0,15.8,6.0,52,17,140
2015-10-01 23:00:00,21139,0.0,14.3,5.7,56,11,130
2015-10-01 23:30:00,21139,0.0,11.9,5.1,63,5,110
2015-10-02 00:00:00,21139,0.0,10.1,4.9,70,5,140
